,player_name,B,S,batter_team
204,Gleyber Torres-NYY,46.0,33.0,NYY
205,Greg Allen-NYY,2.0,1.0,NYY
206,Gunnar Henderson-BAL,41.0,51.0,BAL
207,Ha-seong Kim-SD,51.0,61.0,SD
208,Hanser Alberto-CWS,1.0,1.0,CWS
209,Harold Castro-COL,10.0,7.0,COL
210,Harold Ramirez-TB,24.0,20.0,TB
211,Harrison Bader-NYY,22.0,18.0,NYY
212,Heliot Ramos-SF,2.0,3.0,SF
213,Henry Davis-PIT,17.0,10.0,PIT
214,Hunter Dozier-KC,6.0,1.0,KC
215,Hunter Renfroe-LAA,42.0,27.0,LAA
216,Ian Happ-CHC,36.0,52.0,CHC
217,Ildemaro Vargas-WSH,10.0,13.0,WSH
218,Isaac Paredes-TB,54.0,24.0,TB
219,Isan Diaz-SF,1.0,3.0,SF
220,Isiah Kiner-Falefa-NYY,15.0,29.0,NYY
221,Ivan Herrera-STL,1.0,3.0,STL
222,J.D. Davis-SF,23.0,28.0,SF
223,J.D. Martinez-LAD,40.0,18.0,LAD
224,J.P. Crawford-SEA,29.0,49.0,SEA
225,J.T. Realmuto-PHI,32.0,31.0,PHI
226,JJ Bleday-OAK,30.0,21.0,OAK
227,Jace Peterson-AZ,2.0,5.0,AZ
228,Jace Peterson-OAK,31.0,24.0,OAK
229,Jack Suwinski-PIT,43.0,25.0,PIT
230,Jackie Bradley Jr.-KC,4.0,16.0,KC
231,Jacob Amaya-MIA,0.0,2.0,MIA
232,Jacob Stallings-MIA,22.0,14.0,MIA
233,Jahmai Jones-MIL,2.0,1.0,MIL
234,Jake Alu-WSH,1.0,1.0,WSH
235,Jake Bauers-NYY,21.0,21.0,NYY
236,Jake Burger-CWS,15.0,30.0,CWS
237,Jake Burger-MIA,3.0,5.0,MIA
238,Jake Cave-PHI,7.0,8.0,PHI
239,Jake Cronenworth-SD,35.0,24.0,SD
240,Jake Fraley-CIN,16.0,17.0,CIN
241,Jake Lamb-LAA,3.0,1.0,LAA
242,Jake Marisnick-DET,8.0,4.0,DET
243,Jake Marisnick-LAD,1.0,0.0,LAD
244,Jake McCarthy-AZ,19.0,17.0,AZ
245,Jake Meyers-HOU,23.0,21.0,HOU
246,Jake Rogers-DET,16.0,19.0,DET
247,James McCann-BAL,8.0,10.0,BAL
248,James Outman-LAD,37.0,26.0,LAD
249,Jared Walsh-LAA,4.0,6.0,LAA
250,Jared Young-CHC,0.0,5.0,CHC
251,Jarred Kelenic-SEA,20.0,28.0,SEA
252,Jarren Duran-BOS,34.0,14.0,BOS
253,Jason Delay-PIT,6.0,6.0,PIT
254,Jason Heyward-LAD,13.0,20.0,LAD
255,Jason Vosler-CIN,4.0,5.0,CIN
256,Javier Baez-DET,21.0,25.0,DET
257,Jazz Chisholm-MIA,25.0,22.0,MIA
258,Jean Segura-MIA,23.0,13.0,MIA
259,Jeff McNeil-NYM,27.0,30.0,NYM
260,Jeimer Candelario-CHC,4.0,5.0,CHC
261,Jeimer Candelario-WSH,33.0,25.0,WSH
262,Jeremy Pena-HOU,25.0,26.0,HOU
263,Jesse Winker-MIL,22.0,13.0,MIL
264,Jesus Aguilar-OAK,3.0,3.0,OAK
265,Jesus Sanchez-MIA,21.0,20.0,MIA
266,Jeter Downs-WSH,0.0,1.0,WSH
267,Ji Hwan Bae-PIT,27.0,21.0,PIT
268,Ji-Man Choi-PIT,15.0,4.0,PIT
269,Ji-Man Choi-SD,1.0,0.0,SD
270,Jo Adell-LAA,4.0,3.0,LAA
271,Joc Pederson-SF,23.0,19.0,SF
272,Joey Bart-SF,8.0,4.0,SF
273,Joey Gallo-MIN,13.0,28.0,MIN
274,Joey Meneses-WSH,48.0,25.0,WSH
275,Joey Ortiz-BAL,4.0,3.0,BAL
276,Joey Votto-CIN,5.0,15.0,CIN
277,Joey Wendle-MIA,20.0,4.0,MIA
278,Joey Wiemer-MIL,36.0,28.0,MIL
279,Johan Rojas-PHI,4.0,3.0,PHI
280,Jon Berti-MIA,25.0,25.0,MIA
281,Jonah Bride-OAK,5.0,12.0,OAK
282,Jonah Heim-TEX,23.0,25.0,TEX
283,Jonathan Arauz-NYM,2.0,2.0,NYM
284,Jonathan Davis-MIA,10.0,6.0,MIA
285,Jonathan India-CIN,41.0,45.0,CIN
286,Jonathan Schoop-DET,6.0,7.0,DET
287,Jonathan Singleton-HOU,0.0,2.0,HOU
288,Jonathan Singleton-MIL,3.0,4.0,MIL
289,Jonny Deluca-LAD,1.0,1.0,LAD
290,Jordan Diaz-OAK,10.0,4.0,OAK
291,Jordan Luplow-MIN,3.0,1.0,MIN
292,Jordan Luplow-TOR,2.0,2.0,TOR
