,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
106,Christian Arroyo-BOS,12.0,13.0,211.0,75.0,-1.811,2.331,BOS
107,Christian Bethancourt-TB,12.0,12.0,273.0,99.0,-1.483,1.4219999999999997,TB
108,Christian Encarnacion-Strand-CIN,5.0,3.0,104.0,46.0,-0.36400000000000005,0.361,CIN
109,Christian Vazquez-MIN,14.0,15.0,321.0,167.0,-2.329,2.04,MIN
110,Christian Walker-AZ,33.0,45.0,685.0,271.0,-3.1389999999999993,6.890999999999999,AZ
111,Christian Yelich-MIL,47.0,33.0,770.0,327.0,-7.735999999999999,3.6870000000000003,MIL
112,Christopher Morel-CHC,30.0,23.0,407.0,177.0,-5.147000000000001,3.9799999999999995,CHC
113,Clint Frazier-CWS,3.0,4.0,127.0,47.0,-0.17600000000000002,0.30100000000000005,CWS
114,Cody Bellinger-CHC,26.0,25.0,483.0,238.0,-3.503,2.6529999999999996,CHC
115,Cole Tucker-COL,1.0,1.0,16.0,8.0,-0.472,0.111,COL
116,Colton Cowser-BAL,7.0,7.0,139.0,66.0,-0.845,1.133,BAL
117,Conner Capel-OAK,3.0,6.0,130.0,71.0,-0.36,0.808,OAK
118,Connor Joe-PIT,43.0,33.0,522.0,328.0,-6.031999999999999,5.603,PIT
119,Connor Wong-BOS,20.0,16.0,329.0,172.0,-2.4979999999999998,2.539,BOS
120,Cooper Hummel-SEA,1.0,2.0,42.0,17.0,-0.197,0.178,SEA
121,Corbin Carroll-AZ,38.0,34.0,645.0,305.0,-5.665999999999999,3.8640000000000003,AZ
122,Corey Dickerson-WSH,3.0,14.0,142.0,65.0,-0.374,1.658,WSH
123,Corey Julks-HOU,25.0,20.0,444.0,235.0,-2.3560000000000003,4.555,HOU
124,Corey Seager-TEX,18.0,18.0,425.0,101.0,-2.58,2.452,TEX
125,Cristian Pache-PHI,0.0,4.0,57.0,25.0,0.0,0.898,PHI
126,Curt Casali-CIN,8.0,8.0,130.0,58.0,-1.4780000000000002,1.3940000000000001,CIN
127,Curtis Mead-TB,2.0,1.0,25.0,12.0,-0.10400000000000001,0.092,TB
128,DJ LeMahieu-NYY,43.0,31.0,519.0,365.0,-5.625000000000002,3.805000000000001,NYY
129,DJ Stewart-NYM,2.0,2.0,89.0,20.0,-0.633,0.481,NYM
130,Dairon Blanco-KC,5.0,2.0,107.0,45.0,-0.94,0.186,KC
131,Dane Myers-MIA,1.0,4.0,65.0,42.0,-0.054000000000000006,0.374,MIA
132,Daniel Vogelbach-NYM,26.0,31.0,409.0,277.0,-2.7859999999999996,4.567,NYM
133,Danny Jansen-TOR,17.0,20.0,367.0,144.0,-2.2920000000000003,3.564,TOR
134,Danny Mendick-NYM,5.0,7.0,53.0,36.0,-0.667,0.654,NYM
135,Dansby Swanson-CHC,31.0,22.0,629.0,288.0,-3.3830000000000005,4.390000000000001,CHC
136,Darick Hall-PHI,1.0,2.0,62.0,23.0,-0.532,0.32400000000000007,PHI
137,Darin Ruf-MIL,1.0,4.0,54.0,32.0,-0.091,0.314,MIL
138,Darin Ruf-SF,3.0,1.0,47.0,30.0,-0.28800000000000003,0.6749999999999999,SF
139,Daulton Varsho-TOR,32.0,27.0,543.0,263.0,-4.309,4.799,TOR
140,David Dahl-SD,1.0,1.0,10.0,5.0,-0.07500000000000001,0.036000000000000004,SD
141,David Fletcher-LAA,3.0,4.0,46.0,29.0,-0.7579999999999999,0.641,LAA
142,David Hamilton-BOS,2.0,1.0,45.0,34.0,-0.129,0.23500000000000001,BOS
143,David Hensley-HOU,14.0,3.0,139.0,100.0,-1.963,0.195,HOU
144,David Peralta-LAD,23.0,15.0,336.0,158.0,-2.8970000000000002,3.21,LAD
145,David Villar-SF,9.0,10.0,177.0,108.0,-1.893,1.27,SF
146,Derek Hill-WSH,4.0,5.0,64.0,28.0,-0.657,0.516,WSH
147,Dominic Canzone-AZ,2.0,3.0,41.0,21.0,-0.266,0.188,AZ
148,Dominic Canzone-SEA,5.0,2.0,35.0,21.0,-0.6420000000000001,0.126,SEA
149,Dominic Fletcher-AZ,4.0,9.0,118.0,66.0,-0.30400000000000005,1.2940000000000003,AZ
150,Dominic Smith-WSH,29.0,15.0,555.0,271.0,-4.170999999999999,1.6620000000000001,WSH
151,Donovan Solano-MIN,27.0,26.0,430.0,247.0,-3.085000000000001,3.958,MIN
152,Drew Ellis-PHI,1.0,4.0,55.0,22.0,-0.7969999999999999,0.5030000000000001,PHI
153,Drew Waters-KC,18.0,7.0,253.0,120.0,-1.7840000000000005,1.059,KC
154,Dylan Carlson-STL,26.0,17.0,356.0,173.0,-4.289000000000001,2.311,STL
155,Dylan Moore-SEA,7.0,6.0,86.0,59.0,-0.785,0.7040000000000001,SEA
156,Eddie Rosario-ATL,23.0,14.0,376.0,180.0,-2.805,1.0600000000000003,ATL
157,Edmundo Sosa-PHI,16.0,12.0,213.0,109.0,-1.6139999999999999,1.629,PHI
158,Edouard Julien-MIN,31.0,12.0,395.0,209.0,-5.215000000000001,1.831,MIN
159,Eduardo Escobar-LAA,9.0,6.0,133.0,69.0,-1.418,0.667,LAA
160,Eduardo Escobar-NYM,15.0,9.0,155.0,79.0,-1.65,0.966,NYM
161,Edward Olivares-KC,27.0,17.0,360.0,172.0,-3.0889999999999995,1.6640000000000001,KC
162,Edwin Rios-CHC,1.0,4.0,49.0,26.0,-0.07500000000000001,0.702,CHC
163,Ehire Adrianza-ATL,1.0,0.0,16.0,10.0,-0.184,0.0,ATL
164,Elehuris Montero-COL,13.0,8.0,185.0,116.0,-2.043,0.747,COL
165,Eli White-ATL,3.0,3.0,26.0,11.0,-0.366,0.30800000000000005,ATL
166,Elias Diaz-COL,19.0,24.0,486.0,165.0,-2.5100000000000002,2.6270000000000002,COL
167,Elly De La Cruz-CIN,18.0,11.0,330.0,170.0,-1.955,1.7240000000000002,CIN
168,Eloy Jimenez-CWS,22.0,12.0,358.0,152.0,-2.7229999999999994,1.211,CWS
169,Elvis Andrus-CWS,26.0,29.0,384.0,226.0,-3.422,3.5740000000000003,CWS
170,Emmanuel Rivera-AZ,22.0,10.0,322.0,155.0,-2.3790000000000004,1.0370000000000001,AZ
171,Endy Rodriguez-PIT,9.0,5.0,109.0,52.0,-1.013,0.9330000000000002,PIT
172,Enmanuel Valdez-BOS,10.0,6.0,139.0,86.0,-1.2830000000000001,0.6659999999999999,BOS
173,Enrique Hernandez-BOS,29.0,18.0,428.0,228.0,-2.6060000000000003,2.165,BOS
174,Enrique Hernandez-LAD,4.0,6.0,78.0,36.0,-0.45699999999999996,0.927,LAD
175,Eric Haase-DET,22.0,20.0,310.0,148.0,-3.322,3.3520000000000003,DET
176,Eric Hosmer-CHC,6.0,8.0,124.0,68.0,-1.075,1.0030000000000001,CHC
177,Esteury Ruiz-OAK,23.0,15.0,427.0,207.0,-3.088,1.368,OAK
178,Eugenio Suarez-SEA,40.0,45.0,717.0,353.0,-4.570000000000002,6.825,SEA
179,Evan Longoria-AZ,13.0,19.0,259.0,147.0,-1.863,2.2230000000000003,AZ
